,elbo,pre_g_mean,pre_acsa,ood,o_g_mean,o_acsa
5,-1138.5306,0.34567994,0.3028405,0.0,0.09582557,0.044544727
10,-1138.3846,0.34266838,0.30334318,0.0,0.0953218,0.04431197
15,-1138.908,0.34003866,0.29545528,2.2210377e-05,0.09550511,0.04450022
20,-1138.0533,0.34658158,0.30358273,2.2210377e-05,0.09458985,0.0440153
25,-1137.0657,0.34117326,0.30372134,0.0,0.09560749,0.044371467
30,-1137.8251,0.33990672,0.30153945,2.2210377e-05,0.09471127,0.044256963
35,-1137.2911,0.34393978,0.30112103,4.4420754e-05,0.0952013,0.04424181
40,-1137.5222,0.3438817,0.31477514,2.2210377e-05,0.09496902,0.044060748
45,-1137.5876,0.35077885,0.33033335,2.2210377e-05,0.09496998,0.044150982
50,-1137.3191,0.34683877,0.30879477,2.2210377e-05,0.09514985,0.044170186
55,-1137.1521,0.34931296,0.3197047,2.2210377e-05,0.09545556,0.044285335
60,-1136.8964,0.33752078,0.30045968,2.2210377e-05,0.095128074,0.044203945
65,-1136.7345,0.34456706,0.31064707,2.2210377e-05,0.095367394,0.04440649
70,-1137.1526,0.36250034,0.35414255,2.2210377e-05,0.09559232,0.044608694
75,-1136.6213,0.36487526,0.35164613,2.2210377e-05,0.09537963,0.044421606
80,-1136.6599,0.34526363,0.313983,2.2210377e-05,0.0949007,0.04408533
85,-1136.6571,0.35116446,0.3124529,4.4420754e-05,0.09529367,0.044293225
90,-1136.4001,0.35348246,0.32157245,4.4420754e-05,0.095952906,0.04466201
95,-1136.2358,0.36429265,0.35329232,4.4420754e-05,0.09536811,0.04435223
100,-1136.4219,0.3458598,0.31417432,4.4420754e-05,0.095506944,0.044486616
105,-1135.6354,0.35800198,0.341957,2.2210377e-05,0.09528474,0.044364214
110,-1135.8613,0.39415967,0.40751377,4.4420754e-05,0.09483896,0.044182494
115,-1135.5924,0.36719993,0.33465314,0.000111051886,0.095949836,0.044642776
27,-1135.7874,0.355452,0.33379275,2.2210377e-05,0.17730924,0.20761038
32,-1135.8412,0.35692117,0.33765987,2.2210377e-05,0.20283277,0.20997024
37,-1135.3442,0.35944387,0.317014,0.00013326226,0.22499032,0.21441305
42,-1135.7633,0.36274207,0.32139376,6.663113e-05,0.24032475,0.21367317
47,-1135.3955,0.34510687,0.30968618,2.2210377e-05,0.23920864,0.21728662
52,-1135.0074,0.34717745,0.31384414,6.663113e-05,0.23885898,0.21824722
57,-1135.5231,0.35922053,0.32418534,6.663113e-05,0.24203321,0.22267918
62,-1134.9302,0.3525118,0.3330764,4.4420754e-05,0.2464998,0.22351015
67,-1134.9406,0.3376652,0.30705038,2.2210377e-05,0.24220777,0.22612604
72,-1135.5385,0.35476992,0.32540816,4.4420754e-05,0.25827712,0.23132645
77,-1135.2089,0.35133663,0.3231357,4.4420754e-05,0.26163167,0.23277648
82,-1134.7126,0.33522293,0.30945957,4.4420754e-05,0.2602007,0.2310382
87,-1135.069,0.34836265,0.31371278,4.4420754e-05,0.27018616,0.24007455
92,-1134.2115,0.3604144,0.3499791,2.2210377e-05,0.27141228,0.24543901
97,-1134.2644,0.36717305,0.35582328,4.4420754e-05,0.27476636,0.24890202
